ID,RA,DEC
1,49.5238337,-66.5067706
3,49.5185147,-66.5071851
7,49.5586558,-66.5096822
9,49.5843346,-66.4786031
11,49.6018696,-66.4794242
13,49.6583371,-66.4926456
17,49.6730708,-66.5019769
19,49.6252067,-66.4847164
21_1,49.5720754,-66.4789142
23_1,49.5779838,-66.4837372
4,49.4947550,-66.5519097
8,49.5117758,-66.5448411
10,49.5042371,-66.5445350
12,49.5359116,-66.5419246
14,49.4092479,-66.5237394
16,49.4138432,-66.5296027
21_2,49.4279515,-66.5229780
23_2,49.4512000,-66.5052406
25,49.4705125,-66.5347859
27,49.4345504,-66.5294496
